Date,unleaded,diesel,unleaded-wholesale,diesel-wholesale
2018-05-05,116.32,117.38,90.76,90.14
2018-05-06,129.47,132.47,99.49,101.42
2018-05-07,128.02,131.22,100.6,102.62
2018-05-08,116.84,117.75,90.67,90.43
2018-05-09,131.03,133.77,101.73,104.7
2018-05-10,130.68,135.23,101.78,108.38
2018-05-11,130.41,136.88,96.38,105.53
2018-05-12,123.45,132.79,91.97,100.66
2018-06-01,119.5,121.99,92.76,93.15
2018-06-02,122.24,124.99,93.34,95.4
2018-06-03,119.89,122.79,90.68,94.04
2018-06-04,120.76,123.35,93.68,95.25
2018-06-05,116.21,117.39,90.72,90.12
2018-06-06,129.51,132.43,98.73,100.81
2018-06-07,128.13,131.33,100.44,102.05
2018-06-08,129.23,132.14,102.72,102.9
2018-06-09,131.15,133.9,101.34,104.28
2018-06-10,117.65,120.22,90.74,94.08
2018-06-11,129.98,136.77,95.51,105.02
2018-06-12,123.4,132.73,90.49,98.73
2018-07-01,119.68,122.13,92.26,92.96
2018-07-02,122.16,124.91,92.88,94.56
2018-07-03,119.82,122.69,90.69,94.07
2018-07-04,118.78,120.5,92.3,91.96
2018-07-05,115.56,116.65,91.17,90.65
2018-07-06,129.51,132.48,99.52,101.69
2018-07-07,114.72,115.49,89.68,89.61
2018-07-08,129.39,132.21,102.72,103.08
2018-07-09,131.22,133.99,101.35,104.19
2018-07-10,117.77,120.19,90.88,93.64
2018-07-11,129.78,136.79,95.1,105.68
2018-07-12,122.49,131.73,92.55,100.95
2018-08-01,121.19,123.9,93.9,96.71
2018-08-02,122.15,124.87,91.99,93.68
2018-08-03,119.86,122.7,90.24,93.88
2018-08-04,118.9,120.62,91.59,91.25
2018-08-05,124.41,127.19,98.35,100.39
2018-08-06,129.42,132.34,99.68,101.88
2018-08-07,114.76,115.47,90.06,90.19
2018-08-08,129.28,132.15,101.42,102.46
2018-08-09,119.83,120.63,90.79,93.24
2018-08-10,131.41,135.74,101.27,108.09
2018-08-11,128.9,136.25,95.13,104.97
2018-08-12,120.56,123.15,93.34,95.66
2018-09-01,121.27,123.97,94.55,97.12
2018-09-02,121.84,124.47,91.85,93.29
2018-09-03,119.69,122.49,90.58,94.34
2018-09-04,120.91,123.52,93.97,95.76
2018-09-05,124.68,127.48,99.56,101.88
2018-09-06,115.11,116.11,88.28,87.61
2018-09-07,128.2,131.45,101.02,102.48
2018-09-08,129.46,132.24,100.91,102.43
2018-09-09,119.87,120.69,90.77,93.41
2018-09-10,131.52,136.07,101.22,108.64
2018-09-11,129.09,136.61,95.03,104.67
2018-09-12,120.58,123.13,93.41,95.81
2018-10-01,121.27,124.03,94.73,97.54
2018-10-02,120.11,122.21,92.74,93.23
2018-10-03,118.81,120.89,90.18,90.41
2018-10-04,120.91,123.57,94.77,96.53
2018-10-05,124.93,127.72,100.13,101.98
2018-10-06,115.26,116.07,88.71,87.6
2018-10-07,128.31,131.53,101.09,102.81
2018-10-08,129.57,132.26,101.83,103.4
2018-10-09,131.24,134.09,101.03,104.29
2018-10-10,131.23,136.11,99.87,107.81
2018-10-11,120.9,123.34,93.34,95.71
2018-10-12,122.15,131.79,91.89,100.32
2018-11-01,121.46,124.2,95.03,97.76
2018-11-02,120.28,122.32,92.98,93.67
2018-11-03,118.83,120.88,90.52,90.54
2018-11-04,120.99,123.61,95.42,97.63
2018-11-05,125.37,128.16,100.13,102.13
2018-11-06,129.37,132.42,99.6,101.85
2018-11-07,128.38,131.54,100.53,102.08
2018-11-08,117.02,117.91,91.7,91.68
2018-11-09,131.25,134.16,101.5,104.74
2018-11-10,131.56,136.44,98.42,106.71
2018-11-11,120.97,123.48,93.47,95.82
2018-11-12,122.44,131.65,92.01,99.98
2018-12-01,121.65,124.42,94.27,96.97
2018-12-02,121.9,124.4,91.59,93.22
2018-12-03,119.73,122.58,91.37,93.72
2018-12-04,121.13,123.78,95.09,97.06
2018-12-05,116.36,117.51,91.64,91.21
2018-12-06,129.38,132.36,99.63,102.13
2018-12-07,128.45,131.64,99.2,100.62
2018-12-08,117.07,118.02,92.16,91.85
2018-12-09,131.26,134.16,101.92,104.92
2018-12-10,131.56,136.49,98.47,106.89
2018-12-11,129.07,136.67,95.9,106.05
2018-12-12,121.65,131.3,92,99.78
2019-01-01,119.89,122.19,92.3,92.91
2019-01-02,119.54,128.64,91.11,98.65
2019-01-03,120.57,129.97,91.69,99.97
2019-01-04,122.62,130.7,98.27,99.72
2019-01-05,128.23,133.8,102.04,101.87
2019-01-06,129.22,132.24,99.74,101.95
2019-01-07,128.53,131.59,100.14,101.61
2019-01-08,129.54,132.33,101.59,103.3
2019-01-09,131.33,134.29,100.75,103.98
2019-01-10,117.89,120.42,91.71,94.05
2019-01-11,128.84,136.63,94.24,103.78
2019-01-12,122.1,131.4,91.55,99.26
2019-02-01,120.72,129.97,90.79,96.85
2019-02-02,121.61,124.01,90.66,92.56
2019-02-03,119.57,122.42,91.5,93.85
2019-02-04,122.96,130.82,98.87,100.48
2019-02-05,128.53,133.98,101.09,101.95
2019-02-06,128.91,131.98,99.17,101.66
2019-02-07,114.91,115.68,89.76,90.34
2019-02-08,129.68,132.43,102.12,103.21
2019-02-09,131.37,134.31,100.46,103.88
2019-02-10,118.06,120.44,92.1,94.49
2019-02-11,128.6,136.53,94.06,104.42
2019-02-12,121.55,130.93,91.1,99.3
2019-03-01,120.7,129.94,90.31,96.55
2019-03-02,121.47,123.93,91.03,92.79
2019-03-03,119.66,122.5,91.83,93.98
2019-03-04,123.31,130.86,98.49,99.91
2019-03-05,128.5,134.1,101.05,102.35
2019-03-06,130.67,135.51,97.85,98.4
2019-03-07,115.01,115.76,90.15,90.67
2019-03-08,129.71,132.46,101.75,102.39
2019-03-09,119.1,120.25,90.17,94.19
2019-03-10,131.58,136.67,98.38,106.71
2019-03-11,128.47,136.45,94.99,105.03
2019-03-12,120.75,123.29,93.84,96.86
2019-04-01,120.47,129.75,90.28,96.85
2019-04-02,119.53,128.71,91.2,98.98
2019-04-03,120.59,129.98,92.54,100.54
2019-04-04,123.32,130.96,99.1,100.44
2019-04-05,126.15,129,100.77,102.71
2019-04-06,130.62,135.46,97.75,98.36
2019-04-07,128.36,131.64,98.48,100.33
2019-04-08,129.78,132.55,101.73,102.62
2019-04-09,119.19,120.31,89.85,94.24
2019-04-10,131.52,136.71,99.15,106.32
2019-04-11,127.41,135.84,94.76,104.43
2019-04-12,120.73,123.37,93.83,96.91
